y,x1,x2,x3,x4,x5,x6,x7
0,4.119524,22.681276,Tue,-2.367208,104.295597,Oregon,mercedes
0,-0.595945,22.106476,Wed,0.357183,72.786564,Minnesota,subaru
0,5.078628,22.297878,Tue,-2.328044,106.19652,Virginia,toyota
0,3.543362,20.281846,Wed,1.323722,107.424498,North Dakota,chevrolet
0,1.462608,19.95818,Thu,2.525927,112.433096,Georgia,chevrolet
0,2.836133,18.317184,Tue,1.08707,99.991858,Delaware,chevrolet
0,1.265698,23.844386,Sun,-2.147896,91.37326,California,chevrolet
0,1.711373,21.843651,Thu,-0.547731,100.99268,,subaru
0,0.43985,21.635007,Fri,-0.019619,82.608408,Colorado,ford
0,2.376054,17.89493,Mon,2.518946,102.932974,Florida,mercedes
0,-0.483892,19.708409,Wed,-1.195687,96.887397,,subaru
0,2.283348,19.499042,Sun,2.329824,92.643741,Virginia,subaru
0,-0.383562,23.004689,Tue,-1.326043,,,chevrolet
0,6.071776,17.818786,Fri,-1.171563,99.618021,Wisconsin,ford
0,1.732132,19.393349,Wed,1.146979,125.097856,North Carolina,subaru
0,0.377757,19.423418,Sat,-2.135221,103.264736,Florida,mercedes
0,1.955238,22.629931,Sat,-1.310215,124.029545,California,ford
0,7.456059,21.597656,Sun,1.097328,107.934751,North Carolina,
0,2.721603,18.313049,Thu,1.992099,104.777112,Massachusetts,
0,5.11159,20.185575,Sat,-1.24218,103.485172,,mercedes
0,5.64874,17.627167,Sat,,74.169159,Louisiana,subaru
0,1.018935,20.430779,Mon,-1.557667,126.950933,California,ford
0,3.293653,17.914396,Fri,-2.984984,,New Mexico,
0,3.53235,22.467766,Tue,-1.087926,127.060079,New Jersey,chevrolet
0,2.017194,22.310294,Tue,1.118945,131.926084,Texas,chevrolet
0,5.173993,18.092932,Sat,0.399143,90.080468,New Jersey,mercedes
0,-2.364316,17.778205,Thu,-0.850402,111.232583,,
0,7.911143,19.709848,Mon,3.171626,97.248154,,mercedes
0,1.810192,20.60634,Sat,-0.560547,95.683968,Indiana,
0,2.238099,19.577981,Sun,1.825997,135.529709,,
0,8.905753,20.495072,Tue,-0.546785,95.701497,Maine,mercedes
0,1.573334,18.964359,Wed,0.126941,76.876511,Alabama,toyota
0,4.974221,20.432922,Mon,1.574701,88.276278,Oklahoma,chevrolet
0,0.762881,21.516553,Sun,,99.101918,Kentucky,ford
0,4.801581,20.808254,Wed,1.882211,132.317633,New York,
0,2.133549,18.891857,Fri,4.055004,74.352024,New Hampshire,
0,3.185625,16.506016,Sun,0.400107,87.064578,Texas,mercedes
0,4.873264,19.672364,Tue,-0.698686,84.525875,Ohio,subaru
0,3.644904,19.562004,Fri,0.193349,,,nissan
0,2.90846,19.89416,Thu,-0.734592,103.142055,Nevada,ford
0,5.857874,19.383742,Mon,-1.029918,,Nevada,toyota
0,2.810318,18.959999,Tue,1.466369,84.49249,Idaho,
0,2.814695,22.32179,Tue,-2.067055,108.758117,Virginia,
0,4.135327,21.293828,Sun,-0.120497,,Illinois,ford
0,0.613734,20.227852,Thu,-0.390176,104.507225,West Virginia,
0,2.909857,21.137327,Wed,-0.082318,105.515001,California,subaru
0,4.252839,20.88003,Tue,1.468525,101.406539,New York,
0,4.964073,21.762806,Wed,-2.121899,105.232174,Florida,mercedes
0,0.152295,20.825057,Fri,-2.597618,124.17882,Tennessee,
0,2.735549,19.236065,Wed,-2.264961,83.950305,,chevrolet
0,3.544481,17.917927,Thu,-0.900075,91.517616,New Jersey,
0,1.050811,22.886415,Sat,0.151813,114.716532,New Jersey,
0,1.922228,21.638109,Mon,0.889964,99.994034,Ohio,
0,4.177524,21.34552,Thu,-1.53975,106.7134,Georgia,subaru
0,1.300417,19.522346,Mon,1.448342,,Florida,
0,4.431332,20.373778,Fri,-0.62261,96.932204,Florida,mercedes
0,0.021577,20.88557,Sun,-0.160079,118.380719,Delaware,mercedes
0,7.597098,20.921805,Tue,1.7812,97.039304,,toyota
0,2.751924,18.817958,Sun,-0.12852,107.334474,California,chevrolet
0,5.511392,19.91607,Sat,-0.421876,90.078613,Arizona,mercedes
0,3.358841,23.020941,Tue,-0.377017,110.283524,Massachusetts,chevrolet
0,-0.085112,19.100728,Sun,,120.779705,Kansas,
0,-0.0259799999999999,23.385455,Wed,-0.380643,114.76063,Virginia,ford
0,2.409131,20.698391,Fri,-0.298523,104.165531,Vermont,toyota
0,2.695248,22.303838,Mon,0.196452,,,ford
0,1.34705,19.377017,Sat,-0.005541,98.837541,California,subaru
0,1.324283,19.441232,Sun,1.234492,,Colorado,buick
0,5.375131,20.193891,Tue,-1.074635,105.2405,Illinois,ford
0,2.242587,20.617322,Fri,0.256662,103.366593,Texas,mercedes
0,-0.967666,19.813324,Sat,0.732064,113.533044,Wyoming,ford
0,3.573622,18.537054,Tue,-1.960261,92.896696,New York,ford
0,2.416633,19.887391,Wed,-0.394932,104.951608,Ohio,ford
0,4.584732,20.657167,Sun,-0.795626,89.720731,California,ford
0,4.917208,21.307226,Fri,0.423674,73.096066,South Carolina,
0,5.239523,19.139104,Fri,0.055,101.176352,Texas,chevrolet
0,1.633043,19.017855,Wed,,86.633181,California,toyota
0,0.314203,22.037665,Wed,-1.23043,,Kentucky,nissan
0,5.042891,20.370893,Sun,-0.743649,,South Carolina,
0,-0.186592,21.289216,Mon,-1.465419,90.406387,Illinois,subaru
0,6.826323,21.607208,Sat,,115.218569,,
0,4.958875,19.203064,Fri,1.147282,109.836313,,ford
0,1.839761,19.228876,Sat,2.276495,97.845288,Ohio,mercedes
0,3.11076,20.745399,Tue,0.86935,86.626932,Minnesota,chevrolet
0,3.537831,23.602674,Wed,,102.881297,Wisconsin,subaru
0,5.403378,19.504468,Fri,-1.519709,76.58412,Maryland,ford
0,6.04658,22.131165,Fri,-0.988443,87.437268,New Jersey,chevrolet
0,3.98789,20.580004,Wed,,108.807538,California,
0,1.256331,20.390611,Tue,0.405873,110.84436,Texas,toyota
0,3.556969,19.620832,Tue,-0.957245,111.221087,Michigan,nissan
0,1.940593,22.284598,Wed,-2.070072,110.182919,Virginia,chevrolet
0,9.262198,20.266678,Wed,-1.739622,,Illinois,chevrolet
0,1.93916,18.56523,Fri,0.233049,119.918904,Connecticut,
0,3.270168,19.551529,Thu,-0.852234,122.095308,Maryland,subaru
0,2.967967,23.687648,Sat,0.483068,110.34947,California,subaru
0,3.30292,20.534444,Wed,-0.35263,,Maryland,ford
0,5.17558,21.219955,Tue,-0.363405,,Louisiana,
0,3.022088,19.822963,Sat,1.514981,94.940595,Indiana,ford
0,4.849212,16.917963,Sat,0.701837,82.76361,Rhode Island,
0,2.604777,23.796782,Wed,-1.394056,88.854199,Florida,mercedes
0,2.367744,20.529628,Thu,2.004715,87.285325,,
0,0.262218,19.703086,Sun,0.702781,115.85245,California,ford
0,2.274831,21.332495,Tue,,115.782445,,mercedes
0,5.960313,21.513358,Mon,-0.341691,97.603557,Arizona,nissan
0,0.776518,18.094362,Wed,-0.784878,125.702023,,chevrolet
0,5.08352,18.818502,Fri,-0.704225,88.327636,Tennessee,toyota
0,7.465894,22.7763,Thu,-0.581999,88.904164,DC,ford
0,0.361453,22.825765,Wed,-2.208072,108.314378,Indiana,chevrolet
0,4.092887,15.187993,Mon,1.301807,93.955279,California,ford
0,2.196739,18.620982,Fri,-0.050261,81.101999,Indiana,ford
0,1.807884,19.371801,Tue,0.545296,94.598169,Florida,
0,3.460036,19.675623,Sun,-0.75314,103.049144,Alabama,nissan
0,5.135724,17.864628,Thu,-0.281347,,,
0,2.803289,19.486443,Wed,-3.496687,109.776233,California,buick
0,1.218964,19.894815,Wed,-0.951076,123.154931,Florida,
0,6.916821,19.279125,Tue,-1.930026,88.087848,Massachusetts,subaru
0,0.298891,19.907313,Mon,-0.128356,102.281229,Maryland,chevrolet
0,2.735071,20.575696,Mon,-0.388541,97.121411,Florida,mercedes
0,2.850738,17.494273,Fri,1.147575,115.910675,Connecticut,subaru
0,2.626249,18.799196,Mon,,78.2364,Kentucky,toyota
0,2.197974,21.472945,Sat,-2.321793,87.012787,Oklahoma,toyota
0,2.690002,17.975977,Thu,,95.014597,Tennessee,mercedes
0,4.59304,20.047132,Sat,-2.189165,88.605375,Massachusetts,nissan
0,-0.816424,18.43284,Sun,-0.663495,97.144498,Maryland,mercedes
0,5.141295,19.160181,Tue,,98.930074,Delaware,
0,1.77822,19.205445,Sun,0.375052,99.86519,Mississippi,chevrolet
0,0.471273,21.332251,Wed,0.766665,94.634269,Hawaii,
0,6.774331,19.763256,Thu,-1.932334,114.58768,Wisconsin,
0,0.530589,19.433012,Fri,0.706165,88.544979,,mercedes
0,1.567485,21.559107,Tue,-0.082955,124.493687,,
0,5.991673,19.899166,Tue,2.047456,88.823795,Louisiana,ford
0,1.42444,19.206203,Tue,0.262815,106.486597,Kentucky,ford
0,4.783935,18.591368,Sun,0.979237,100.377214,New York,ford
0,2.82043,20.361827,Thu,-0.52454,84.655996,,ford
0,4.132731,20.127516,Sun,0.593146,,Oklahoma,
0,0.118929,22.049082,Mon,-0.785774,104.038178,Colorado,chevrolet
0,1.476066,18.882609,Wed,-0.034757,89.187523,,
0,0.665821,19.927457,Thu,0.990419,,Nevada,subaru
0,3.127573,19.631338,Wed,-1.400253,93.041082,Illinois,subaru
0,2.979625,18.745116,Sat,-0.664034,111.489378,Virginia,subaru
0,1.755631,19.659193,Mon,-0.594809,77.983256,,subaru
0,3.010399,19.73483,Tue,0.179283,112.472595,California,
0,5.525535,19.369895,Fri,0.303148,95.861321,Pennsylvania,toyota
0,3.310339,20.204552,Wed,2.111371,96.915926,Colorado,chevrolet
0,7.613109,16.891228,Fri,1.894382,103.516477,Washington,chevrolet
0,2.33221,19.707722,Fri,1.994788,89.117018,Delaware,mercedes
0,1.625923,17.428701,Wed,2.260995,106.635717,Wyoming,
0,3.167018,19.207186,Wed,-0.42598,,,chevrolet
0,2.2328,22.587377,Wed,-0.291128,98.958853,Florida,toyota
0,5.603947,18.984369,Sun,-1.119147,84.325719,Texas,subaru
0,5.515729,18.629071,Mon,2.348142,97.602487,Georgia,mercedes
0,1.860684,22.344415,Tue,-2.990204,,,mercedes
0,2.068162,22.587645,Wed,0.060617,85.611217,,mercedes
0,1.75103,21.418995,Sun,1.323148,120.777361,Connecticut,buick
0,4.15462,20.739378,Tue,-0.687117,81.307811,Maryland,
0,5.436102,20.328771,Mon,-0.473735,91.830633,,ford
0,2.200465,20.244824,Fri,-0.084183,94.397165,,toyota
0,1.749736,19.284514,Wed,1.026576,91.874351,California,
0,2.476662,16.507707,Tue,,93.600441,Virginia,
0,1.944654,18.592416,Wed,1.1049,120.271939,California,chevrolet
0,4.612154,20.697281,Thu,1.072395,111.00371,Florida,
0,5.02008,22.580772,Sun,0.956567,107.840172,Arizona,subaru
0,5.155772,22.420163,Mon,1.292391,83.959274,Indiana,mercedes
0,3.355066,20.502882,Fri,-0.808672,71.565838,Hawaii,nissan
0,1.659605,19.397616,Thu,-0.110725,,Delaware,
0,1.858403,21.317881,Wed,0.085726,83.256216,California,toyota
0,6.095137,20.100487,Tue,0.596873,,Michigan,
0,4.306598,20.836712,Sat,-1.342534,81.490736,Texas,
0,0.265762,20.974677,Sun,1.109911,94.328933,,
0,3.673111,20.352169,Fri,-0.069634,86.717073,Washington,
0,0.0665,21.374211,Tue,-1.016686,95.14844,Massachusetts,buick
0,2.876299,17.356655,Sat,-0.48784,104.036411,,chevrolet
0,5.09078,21.813727,Thu,0.194133,124.215488,Michigan,
0,3.351996,18.583714,Sat,,97.028377,Maine,ford
0,4.398924,18.145563,Fri,2.37585,112.327948,California,buick
0,1.003128,18.327813,Sun,1.050169,,Florida,
0,1.201095,19.325094,Mon,-1.135859,116.758516,,subaru
0,5.501864,19.874455,Mon,1.000109,97.049813,Massachusetts,toyota
0,2.314227,18.621246,Fri,-0.881374,97.567213,California,ford
0,4.032494,20.407106,Mon,0.2939,118.471652,North Carolina,toyota
0,0.833395,20.329643,Fri,-1.493065,94.497235,Minnesota,chevrolet
0,0.859753,18.288594,Wed,-1.263299,82.035588,Florida,ford
0,6.951713,21.139376,Sun,-0.332257,78.294228,South Carolina,
0,3.633449,20.269116,Wed,1.532935,102.634152,Maine,
0,3.37397,19.952361,Sat,1.365916,101.091089,,ford
0,1.737169,20.172997,Thu,-0.329528,90.713393,,ford
0,2.491613,19.683731,Sun,,,Kansas,toyota
0,2.89503,20.772412,Wed,1.342559,112.600763,California,
0,5.230668,17.494346,Sat,0.728241,102.79422,Arizona,subaru
0,4.738053,19.178942,Wed,1.497264,89.398338,,ford
0,1.563929,21.760868,Fri,1.47676,84.718027,Massachusetts,
0,0.809787,20.179703,Mon,0.470945,107.741887,Colorado,mercedes
0,0.018917,20.194848,Sun,-1.40073,109.569497,Minnesota,toyota
0,0.90613,19.266856,Sat,0.010336,92.770396,West Virginia,
0,-1.047886,19.54566,Thu,0.905338,97.815109,Florida,
